color      Repeats
  00̣  ____  321
  01̣  ____  698
  02̣  ____  630
  03̣  ____  616
  04̣  ____  631
  05̣  ____  718
  06̣  ____  829
  07̣  ____  890
  08̣  ____  889
  09̣  ____  808
  10̣  ____  728
  11̣  ____  671
  12̣  ____  636
  13̣  ____  582
  14̣  ____  591
  15̣  ____  495
  16̣  ____  471
  17̣  ____  475
  18̣  ____  420
  19̣  ____  483
  20̣  ____  404
  21̣  ____  370
  22̣  ____  279
  23̣  ____  260
  24̣  ____  204
  25̣  ____  169
  26̣  ____  144
  27̣  ____  129
  28̣  ____  122
  29̣  ____  107
  30̣  ____  113
  31̣  ____  116
  32̣  ____  113
  33̣  ____  94
  34̣  ____  108
  35̣  ____  106
  36̣  ____  109
  37̣  ____  115
  38̣  ____  92
  39̣  ____  85
  40̣  ____  86
  41̣  ____  101
  42̣  ____  101
  43̣  ____  93
  44̣  ____  95
  45̣  ____  95
  46̣  ____  107
  47̣  ____  108
  48̣  ____  95
  49̣  ____  113
  50̣  ____  95
  51̣  ____  108
  52̣  ____  99
  53̣  ____  102
  54̣  ____  90
  55̣  ____  110
  56̣  ____  120
  57̣  ____  104
  58̣  ____  133
  59̣  ____  111
  60̣  ____  99
  61̣  ____  113
  62̣  ____  127
  63̣  ____  116
  64̣  ____  115
  65̣  ____  117
  66̣  ____  151
  67̣  ____  114
  68̣  ____  126
  69̣  ____  112
  70̣  ____  134
  71̣  ____  145
  72̣  ____  124
  73̣  ____  148
  74̣  ____  143
  75̣  ____  156
  76̣  ____  171
  77̣  ____  160
  78̣  ____  165
  79̣  ____  176
  80̣  ____  162
  81̣  ____  184
  82̣  ____  206
  83̣  ____  185
  84̣  ____  174
  85̣  ____  211
  86̣  ____  188
  87̣  ____  198
  88̣  ____  177
  89̣  ____  198
  90̣  ____  170
  91̣  ____  185
  92̣  ____  181
  93̣  ____  183
  94̣  ____  207
  95̣  ____  186
  96̣  ____  196
  97̣  ____  186
  98̣  ____  191
  99̣  ____  213
 100̣  ____  188
 101̣  ____  204
 102̣  ____  201
 103̣  ____  189
 104̣  ____  209
 105̣  ____  195
 106̣  ____  245
 107̣  ____  202
 108̣  ____  249
 109̣  ____  218
 110̣  ____  217
 111̣  ____  242
 112̣  ____  245
 113̣  ____  242
 114̣  ____  237
 115̣  ____  263
 116̣  ____  241
 117̣  ____  255
 118̣  ____  233
 119̣  ____  244
 120̣  ____  250
 121̣  ____  267
 122̣  ____  271
 123̣  ____  271
 124̣  ____  255
 125̣  ____  287
 126̣  ____  261
 127̣  ____  267
 128̣  ____  288
 129̣  ____  288
 130̣  ____  287
 131̣  ____  312
 132̣  ____  292
 133̣  ____  326
 134̣  ____  236
 135̣  ____  269
 136̣  ____  231
 137̣  ____  236
 138̣  ____  271
 139̣  ____  295
 140̣  ____  308
 141̣  ____  288
 142̣  ____  359
 143̣  ____  359
 144̣  ____  342
 145̣  ____  317
 146̣  ____  294
 147̣  ____  280
 148̣  ____  300
 149̣  ____  265
 150̣  ____  276
 151̣  ____  312
 152̣  ____  272
 153̣  ____  250
 154̣  ____  228
 155̣  ____  239
 156̣  ____  216
 157̣  ____  208
 158̣  ____  199
 159̣  ____  224
 160̣  ____  218
 161̣  ____  227
 162̣  ____  183
 163̣  ____  210
 164̣  ____  193
 165̣  ____  205
 166̣  ____  225
 167̣  ____  192
 168̣  ____  228
 169̣  ____  205
 170̣  ____  195
 171̣  ____  217
 172̣  ____  209
 173̣  ____  226
 174̣  ____  190
 175̣  ____  215
 176̣  ____  206
 177̣  ____  220
 178̣  ____  199
 179̣  ____  207
 180̣  ____  200
 181̣  ____  181
 182̣  ____  222
 183̣  ____  214
 184̣  ____  215
 185̣  ____  191
 186̣  ____  228
 187̣  ____  230
 188̣  ____  241
 189̣  ____  212
 190̣  ____  216
 191̣  ____  230
 192̣  ____  239
 193̣  ____  209
 194̣  ____  230
 195̣  ____  215
 196̣  ____  239
 197̣  ____  233
 198̣  ____  207
 199̣  ____  196
 200̣  ____  209
 201̣  ____  219
 202̣  ____  208
 203̣  ____  207
 204̣  ____  194
 205̣  ____  194
 206̣  ____  213
 207̣  ____  198
 208̣  ____  192
 209̣  ____  217
 210̣  ____  210
 211̣  ____  221
 212̣  ____  205
 213̣  ____  222
 214̣  ____  177
 215̣  ____  187
 216̣  ____  190
 217̣  ____  204
 218̣  ____  185
 219̣  ____  147
 220̣  ____  169
 221̣  ____  167
 222̣  ____  157
 223̣  ____  186
 224̣  ____  158
 225̣  ____  161
 226̣  ____  173
 227̣  ____  169
 228̣  ____  179
 229̣  ____  197
 230̣  ____  181
 231̣  ____  152
 232̣  ____  189
 233̣  ____  176
 234̣  ____  192
 235̣  ____  171
 236̣  ____  188
 237̣  ____  181
 238̣  ____  187
 239̣  ____  205
 240̣  ____  208
 241̣  ____  231
 242̣  ____  206
 243̣  ____  201
 244̣  ____  221
 245̣  ____  186
 246̣  ____  174
 247̣  ____  185
 248̣  ____  179
 249̣  ____  179
 250̣  ____  149
 251̣  ____  196
 252̣  ____  211
 253̣  ____  281
 254̣  ____  296
 255̣  ____  547
