(0, 689)
(1, 1294)
(2, 1543)
(3, 1609)
(4, 1429)
(5, 1193)
(6, 1015)
(7, 813)
(8, 679)
(9, 576)
(10, 730)
(11, 355)
(12, 328)
(13, 0)
(14, 296)
(15, 269)
(16, 270)
(17, 272)
(18, 238)
(19, 240)
(20, 223)
(21, 209)
(22, 213)
(23, 181)
(24, 189)
(25, 186)
(26, 200)
(27, 230)
(28, 258)
(29, 216)
(30, 216)
(31, 220)
(32, 190)
(33, 163)
(34, 158)
(35, 182)
(36, 162)
(37, 206)
(38, 175)
(39, 151)
(40, 157)
(41, 168)
(42, 144)
(43, 152)
(44, 139)
(45, 149)
(46, 184)
(47, 183)
(48, 191)
(49, 197)
(50, 173)
(51, 190)
(52, 184)
(53, 160)
(54, 137)
(55, 169)
(56, 169)
(57, 178)
(58, 139)
(59, 155)
(60, 121)
(61, 149)
(62, 155)
(63, 165)
(64, 147)
(65, 142)
(66, 179)
(67, 160)
(68, 152)
(69, 174)
(70, 163)
(71, 160)
(72, 187)
(73, 191)
(74, 200)
(75, 188)
(76, 189)
(77, 188)
(78, 207)
(79, 208)
(80, 203)
(81, 224)
(82, 210)
(83, 209)
(84, 196)
(85, 228)
(86, 211)
(87, 224)
(88, 214)
(89, 251)
(90, 224)
(91, 237)
(92, 211)
(93, 227)
(94, 252)
(95, 255)
(96, 259)
(97, 269)
(98, 262)
(99, 323)
(100, 278)
(101, 267)
(102, 285)
(103, 246)
(104, 241)
(105, 228)
(106, 237)
(107, 234)
(108, 231)
(109, 225)
(110, 200)
(111, 207)
(112, 220)
(113, 191)
(114, 196)
(115, 230)
(116, 202)
(117, 235)
(118, 213)
(119, 234)
(120, 216)
(121, 266)
(122, 232)
(123, 239)
(124, 220)
(125, 275)
(126, 232)
(127, 249)
(128, 420)
(129, 440)
(130, 417)
(131, 420)
(132, 449)
(133, 439)
(134, 409)
(135, 375)
(136, 402)
(137, 415)
(138, 382)
(139, 422)
(140, 442)
(141, 414)
(142, 408)
(143, 407)
(144, 413)
(145, 421)
(146, 375)
(147, 415)
(148, 365)
(149, 391)
(150, 386)
(151, 397)
(152, 383)
(153, 375)
(154, 352)
(155, 364)
(156, 347)
(157, 375)
(158, 372)
(159, 332)
(160, 344)
(161, 340)
(162, 381)
(163, 325)
(164, 377)
(165, 361)
(166, 351)
(167, 367)
(168, 377)
(169, 333)
(170, 327)
(171, 332)
(172, 324)
(173, 329)
(174, 306)
(175, 336)
(176, 355)
(177, 354)
(178, 351)
(179, 314)
(180, 342)
(181, 308)
(182, 276)
(183, 281)
(184, 296)
(185, 309)
(186, 276)
(187, 317)
(188, 341)
(189, 417)
(190, 399)
(191, 692)
(192, 0)
(193, 0)
(194, 14870)
(195, 9009)
(196, 0)
(197, 0)
(198, 0)
(199, 0)
(200, 0)
(201, 0)
(202, 0)
(203, 0)
(204, 0)
(205, 0)
(206, 0)
(207, 0)
(208, 0)
(209, 0)
(210, 0)
(211, 0)
(212, 0)
(213, 0)
(214, 0)
(215, 0)
(216, 0)
(217, 0)
(218, 0)
(219, 0)
(220, 0)
(221, 0)
(222, 0)
(223, 0)
(224, 0)
(225, 0)
(226, 0)
(227, 0)
(228, 0)
(229, 0)
(230, 0)
(231, 0)
(232, 0)
(233, 0)
(234, 0)
(235, 0)
(236, 0)
(237, 0)
(238, 0)
(239, 0)
(240, 0)
(241, 0)
(242, 0)
(243, 0)
(244, 0)
(245, 0)
(246, 0)
(247, 0)
(248, 0)
(249, 0)
(250, 0)
(251, 0)
(252, 0)
(253, 0)
(254, 0)
(255, 0)
